Tournament,Stage,Match Type,Map,Agent,Pick Rate
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,omen,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,waylay,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,skye,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,fade,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,chamber,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,phoenix,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,jett,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,raze,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,veto,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 1,Split,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,neon,83%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,viper,57%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,fade,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,astra,47%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,raze,33%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,omen,33%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,skye,30%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,cypher,23%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,phoenix,20%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,sova,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,brimstone,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,chamber,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,waylay,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,veto,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,harbor,10%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,jett,10%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,kayo,10%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,breach,7%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,killjoy,3%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,vyse,3%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,tejo,3%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,All Maps,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,neon,88%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,viper,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,fade,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,astra,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,raze,88%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,omen,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,skye,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,phoenix,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,chamber,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,waylay,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,veto,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,jett,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Split,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,neon,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,viper,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,fade,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,astra,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,raze,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,omen,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,skye,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,cypher,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,phoenix,38%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,sova,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,chamber,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,waylay,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,veto,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,harbor,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,jett,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,killjoy,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,tejo,13%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Pearl,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,neon,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,viper,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,fade,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,astra,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,raze,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,omen,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,skye,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,phoenix,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,brimstone,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,chamber,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,waylay,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,veto,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,jett,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Bind,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,neon,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,viper,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,fade,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,astra,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,raze,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,omen,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,skye,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,cypher,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,phoenix,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,brimstone,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,chamber,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,waylay,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,veto,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,jett,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,kayo,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,breach,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,vyse,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Fracture,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,neon,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,viper,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,fade,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,astra,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,raze,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,omen,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,skye,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,cypher,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,phoenix,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,sova,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,chamber,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,waylay,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,veto,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,jett,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Haven,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,neon,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,viper,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,fade,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,astra,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,raze,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,omen,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,skye,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,phoenix,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,sova,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,chamber,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,waylay,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,veto,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,harbor,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,jett,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,kayo,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 2,Breeze,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,neon,93%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,omen,64%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,fade,61%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,viper,46%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,raze,29%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,cypher,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,sova,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,astra,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,vyse,21%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,phoenix,21%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,skye,14%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,waylay,11%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,chamber,11%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,jett,11%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,killjoy,11%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,brimstone,11%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,kayo,7%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,tejo,4%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,breach,4%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,veto,4%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,sage,4%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,All Maps,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,neon,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,omen,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,fade,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,viper,60%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,raze,40%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,astra,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,vyse,30%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,phoenix,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,skye,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,waylay,10%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,chamber,20%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,jett,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,killjoy,20%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,veto,10%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,sage,10%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Lotus,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,neon,83%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,omen,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,fade,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,viper,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,raze,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,cypher,83%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,sova,67%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,astra,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,vyse,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,phoenix,67%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,skye,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,waylay,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,chamber,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,jett,33%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,killjoy,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,breach,17%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,veto,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Haven,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,neon,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,omen,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,fade,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,viper,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,raze,75%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,astra,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,vyse,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,phoenix,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,skye,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,waylay,25%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,chamber,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,jett,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,killjoy,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,brimstone,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,kayo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,tejo,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,breach,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,veto,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,sage,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,miks,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,reyna,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,iso,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,harbor,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,gekko,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,deadlock,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,clove,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Split,yoru,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,neon,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,omen,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,fade,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,viper,100%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,raze,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,cypher,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,sova,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,astra,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,vyse,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,phoenix,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,skye,50%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,waylay,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,chamber,0%
VCT 2026: EMEA Stage 1,Group Stage,Week 3,Bind,jett,0%
